iter	RMSE
190	4.765335184
191	4.761959348
192	4.75831104
193	4.755279221
194	4.753362082
195	4.749742627
196	4.744974819
197	4.740595667
198	4.734481555
199	4.731187791
200	4.730464412
201	4.725007532
202	4.720187988
203	4.719449673
204	4.716241756
205	4.710711863
206	4.707001052
207	4.704333898
208	4.698971181
209	4.692055048
210	4.691150817
211	4.690406858
212	4.68482541
213	4.68259199
214	4.677484783
215	4.67543349
216	4.674768844
217	4.671909153
218	4.668011684
219	4.663240067
220	4.66061822
221	4.656567163
222	4.653599789
223	4.650273007
224	4.647347946
225	4.645405562
226	4.642485957
227	4.640372503
228	4.638938608
229	4.638496479
230	4.633688239
231	4.631348095
232	4.627596359
233	4.625771901
234	4.624980588
235	4.623047611
236	4.620283329
237	4.619400078
238	4.617565785
239	4.613025793
240	4.611542975
241	4.606491557
242	4.602133797
243	4.600281328
244	4.595114817
245	4.592210661
246	4.587653877
247	4.585466154
248	4.584840468
249	4.583129786
250	4.579157611
251	4.574757049
252	4.571365868
253	4.56897743
254	4.568336195
255	4.567751451
256	4.565579619
257	4.562876334
258	4.558463514
259	4.556050708
260	4.5556322
261	4.55263419
262	4.549737454
263	4.548092303
264	4.544527242
265	4.543299224
266	4.536647896
267	4.532196279
268	4.530138446
269	4.527868746
270	4.52155663
271	4.515363564
272	4.511853598
273	4.505349972
274	4.498749335
275	4.494868459
276	4.490280388
277	4.48458859
278	4.481151266
279	4.479782099
280	4.473466008
281	4.470305426
282	4.469659702
283	4.464992149
284	4.461920934
285	4.457440494
286	4.454138405
287	4.450160941
288	4.445333623
289	4.443415293
290	4.440326928
291	4.436744331
292	4.434480649
293	4.432493598
294	4.428112596
295	4.426528563
296	4.426223449
297	4.425909142
298	4.421373519
299	4.417526462
300	4.411680636
301	4.406136108
302	4.403359607
303	4.401127652
304	4.395743658
305	4.395043931
306	4.392866456
307	4.390049898
308	4.385986693
309	4.383597091
310	4.377057107
311	4.373001712
312	4.370515929
313	4.368273337
314	4.365646461
315	4.365358667
316	4.361876059
317	4.361539135
318	4.358321293
319	4.357635771
320	4.355215682
321	4.354803282
322	4.351112345
323	4.346983589
324	4.341221121
325	4.33933522
326	4.333546951
327	4.331963193
328	4.326814399
329	4.321698707
330	4.3180658
331	4.315128826
332	4.311860067
333	4.310288575
334	4.30686727
335	4.303485805
336	4.298032333
337	4.295495297
338	4.294721815
339	4.293343523
340	4.28996572
341	4.285789723
342	4.283738596
343	4.27907923
344	4.276065243
345	4.274367701
346	4.271158046
347	4.268949914
348	4.268322027
349	4.267342532
350	4.2621885
351	4.259728248
352	4.256251334
353	4.250176792
354	4.24579415
355	4.241817263
356	4.23726651
357	4.234872694
358	4.230592769
359	4.225373302
360	4.224042346
361	4.219578573
362	4.215155563
363	4.213470197
364	4.209993301
365	4.206689274
366	4.204003
367	4.199992844
368	4.199639201
369	4.1956243
370	4.191399985
371	4.188128251
372	4.184488206
373	4.184091353
374	4.180756164
375	4.177888739
376	4.174629133
377	4.174170624
378	4.172668464
379	4.170332438
380	4.170100135
381	4.167794882
382	4.165152882
383	4.162491428
384	4.160152272
385	4.156402432
386	4.154735241
387	4.15327647
388	4.148573989
389	4.148130206
390	4.145479018
391	4.14399411
392	4.138413422
393	4.136529304
394	4.136291794
395	4.13332953
396	4.129918346
397	4.129299813
398	4.126328006
399	4.123163458
400	4.119913616
401	4.11483712
402	4.111717568
403	4.10907246
404	4.105109807
405	4.103728084
406	4.101792146
407	4.098238329
408	4.094766313
409	4.093306026
410	4.08928512
411	4.086719733
412	4.085409194
413	4.083864392
414	4.080327178
415	4.074911169
416	4.072450896
417	4.070967996
418	4.070575174
419	4.068569347
420	4.065441267
421	4.060365441
422	4.058041858
423	4.056426345
424	4.052322493
425	4.050278617
426	4.047530884
427	4.045028654
428	4.0410337
429	4.040599198
430	4.037073327
431	4.033954016
432	4.031915403
433	4.028220478
434	4.026134114
435	4.023453049
436	4.021313013
437	4.018125265
438	4.015028574
439	4.012467158
440	4.010449563
441	4.006939013
442	4.004094913
443	3.999401567
444	3.997875732
445	3.995804055
446	3.992075358
447	3.991735394
448	3.989771665
449	3.984629907
450	3.982858688
451	3.979402705
452	3.976704319
453	3.975329443
454	3.972738998
455	3.968033906
456	3.964359341
457	3.962958532
458	3.959143566
459	3.958663607
460	3.957454825
461	3.956386253
462	3.956194953
463	3.953203033
464	3.950082674
465	3.945842746
466	3.943581205
467	3.942310524
468	3.941571087
469	3.937879736
470	3.935726064
471	3.933766589
472	3.93351592
473	3.92877449
474	3.928387755
475	3.926918718
476	3.923986387
477	3.923285084
478	3.923098841
479	3.920787194
480	3.919504971
481	3.918129667
482	3.915419582
483	3.913491333
484	3.911932908
485	3.910693275
486	3.908247124
487	3.906704032
488	3.904208211
489	3.902125895
490	3.899956602
491	3.898753826
492	3.898586408
493	3.896639763
494	3.894644854
495	3.890778426
496	3.887983994
497	3.887792412
498	3.887573248
499	3.883912353
500	3.879891868
501	3.877967217
502	3.87520251
503	3.873769116
504	3.870831161
505	3.869299935
506	3.865757636
507	3.859984298
508	3.858280537
509	3.857536216
510	3.856256727
511	3.85226427
512	3.850143733
513	3.849435064
514	3.847682383
515	3.844743045
516	3.844578132
517	3.841632932
518	3.840672218
519	3.839606856
520	3.839050065
521	3.834615802
522	3.831054683
523	3.828432234
524	3.823041053
525	3.822860291
526	3.820388309
527	3.817459666
528	3.815571835
529	3.813506426
530	3.812010349
531	3.810405869
532	3.806241818
533	3.804680788
534	3.803042492
535	3.798997906
536	3.796772121
537	3.795200911
538	3.794076199
539	3.793043707
540	3.79152815
541	3.788986108
542	3.786352775
543	3.785098113
544	3.782108439
545	3.778821458
546	3.77770149
547	3.774740161
548	3.774317814
549	3.771807856
550	3.768972974
551	3.768079291
552	3.764196492
553	3.76131145
554	3.759700944
555	3.757466759
556	3.755466771
557	3.753858337
558	3.752665853
559	3.75203071
560	3.750303374
561	3.748852837
562	3.747746446
563	3.74646283
564	3.745366014
565	3.74267211
566	3.742354272
567	3.740979081
568	3.740644353
569	3.738682357
570	3.735624137
571	3.731414103
572	3.731085922
573	3.730800528
574	3.727966421
575	3.725718769
576	3.722226219
577	3.720866694
578	3.717141848
579	3.716699313
580	3.715337285
581	3.713132902
582	3.712710712
583	3.711559758
584	3.711226072
585	3.707524139
586	3.704491446
587	3.702664487
588	3.700220666
589	3.698612797
590	3.697875191
591	3.694710329
592	3.69353106
593	3.692167971
594	3.68970651
595	3.686340335
596	3.68395829
597	3.683131238
598	3.679333227
599	3.678750663
600	3.677034509
601	3.675046489
602	3.67458339
603	3.671352003
604	3.670619339
605	3.667968457
606	3.666065475
607	3.66356101
608	3.66025925
609	3.65980024
610	3.659264446
611	3.658355795
612	3.657117188
613	3.656670425
614	3.654318987
615	3.652513846
616	3.649130492
617	3.64868567
618	3.647141864
619	3.643793276
620	3.641575691
621	3.638876891
622	3.635110375
623	3.633060768
624	3.630867293
625	3.629652588
626	3.627202643
627	3.625538248
628	3.625176254
629	3.622439045
630	3.621292893
631	3.618375624
632	3.616426083
633	3.615227752
634	3.61500629
635	3.612804029
636	3.611282732
637	3.607837358
638	3.604678685
639	3.601647654
640	3.599838968
641	3.596922062
642	3.594919012
643	3.593771817
644	3.591509165
645	3.591197026
646	3.59082967
647	3.590513417
648	3.58967445
649	3.589142169
650	3.58684688
651	3.585926336
652	3.58346766
653	3.579523145
654	3.578566484
655	3.575619749
656	3.573915954
657	3.5731623
658	3.569793414
659	3.56896828
660	3.566908906
661	3.56677084
662	3.565771226
663	3.565431921
664	3.563127298
665	3.559404545
666	3.558133959
667	3.557686009
668	3.55527426
669	3.552673693
670	3.549763285
671	3.548515183
672	3.543352365
673	3.543249335
674	3.543149835
675	3.54100035
676	3.539871851
677	3.538011297
678	3.534358766
679	3.532028302
680	3.531019202
681	3.530287158
682	3.527220466
683	3.526850986
684	3.526594316
685	3.52631274
686	3.524499107
687	3.524179259
688	3.52126159
689	3.520948127
690	3.518088889
691	3.51712963
692	3.516104431
693	3.515716641
694	3.515080879
695	3.514168242
696	3.511986371
697	3.511429677
698	3.511127015
699	3.510845722
700	3.510719204
701	3.510666159
702	3.509029453
703	3.508305484
704	3.501992513
705	3.498914193
706	3.497335285
707	3.49643562
708	3.496253779
709	3.494513883
710	3.493893385
711	3.493245074
712	3.49073801
713	3.490502591
714	3.490354058
715	3.486121488
716	3.48503127
717	3.483109905
718	3.480695599
719	3.479821197
720	3.479521012
721	3.476081963
722	3.474306979
723	3.472690001
724	3.471097427
725	3.467227763
726	3.466712491
727	3.465633626
728	3.465574229
729	3.463903837
730	3.461777924
731	3.461697952
732	3.460686705
733	3.458981114
734	3.455487434
735	3.454846912
736	3.453333697
737	3.452217318
738	3.45170364
739	3.451586933
740	3.450640633
741	3.449273208
742	3.448953899
743	3.448297379
744	3.447371583
745	3.443944839
746	3.440603343
747	3.440315158
748	3.438761522
749	3.4352836
750	3.433395468
751	3.432495577
752	3.430403847
753	3.428443077
754	3.427750453
755	3.426080326
756	3.424590953
757	3.421609265
758	3.416685138
759	3.415491255
760	3.415312312
761	3.41328431
762	3.408999434
763	3.407990029
764	3.407528764
765	3.405927111
766	3.404098321
767	3.40313431
768	3.400816077
769	3.399921035
770	3.398658496
771	3.397587151
772	3.396378618
773	3.395856245
774	3.394012601
775	3.392023599
776	3.391379567
777	3.390293584
778	3.386703238
779	3.384394353
780	3.384101443
781	3.382951894
782	3.382510644
783	3.380946906
784	3.379569983
785	3.377755274
786	3.377291148
787	3.374789224
788	3.374080277
789	3.373584817
790	3.372402551
791	3.371546672
792	3.371311957
793	3.371082392
794	3.370752744
795	3.369838186
796	3.368977033
797	3.366342075
798	3.365775646
799	3.364970175
800	3.361427128
801	3.35923413
802	3.358719341
803	3.358469932
804	3.357192502
805	3.355546066
806	3.353525963
807	3.352201106
808	3.352128777
809	3.351606847
810	3.348305815
811	3.347592536
812	3.347231932
813	3.345392047
814	3.344541581
815	3.344298136
816	3.343597863
817	3.340824909
818	3.340416804
819	3.338650051
820	3.338475876
821	3.337942042
822	3.337857269
823	3.336776914
824	3.334664974
825	3.333317241
826	3.332702589
827	3.331196438
828	3.329235094
829	3.327043932
830	3.32239344
831	3.321893286
832	3.321118578
833	3.317846187
834	3.316534308
835	3.316172363
836	3.316025857
837	3.315243343
838	3.311245636
839	3.310180148
840	3.309047859
841	3.308168767
842	3.304109476
843	3.299655113
844	3.297864975
845	3.295385059
846	3.294891956
847	3.293950366
848	3.291507257
849	3.287707096
850	3.285746787
851	3.285131185
852	3.284698101
853	3.283150173
854	3.282095535
855	3.28104631
856	3.278153166
857	3.276138646
858	3.274913031
859	3.274808484
860	3.273938649
861	3.270503483
862	3.26813962
863	3.267084186
864	3.264263008
865	3.263688301
866	3.261366316
867	3.261039219
868	3.259431511
869	3.258978405
870	3.255936387
871	3.251192362
872	3.249957695
873	3.248122111
874	3.247594372
875	3.247358328
876	3.247281728
877	3.245583125
878	3.244545757
879	3.244135342
880	3.242390282
881	3.237852641
882	3.236320672
883	3.235535253
884	3.234129136
885	3.233165481
886	3.23280048
887	3.231615211
888	3.229173827
889	3.228126063
890	3.227103787
891	3.226374585
892	3.225360435
893	3.22264881
894	3.22030489
895	3.219668126
896	3.217252673
897	3.216204552
898	3.2150077
899	3.213143652
900	3.208638639
901	3.205957183
902	3.204913185
903	3.203990642
904	3.201191859
905	3.200267838
906	3.199902655
907	3.199288065
908	3.195722273
909	3.192865378
910	3.191634597
911	3.190771451
912	3.18854104
913	3.187294286
914	3.18435659
915	3.182409365
916	3.181082775
917	3.180468939
918	3.179299426
919	3.177915304
920	3.176846377
921	3.175785349
922	3.175256734
923	3.172570876
924	3.17176521
925	3.171640567
926	3.171066765
927	3.169313578
928	3.166134089
929	3.164197899
930	3.160822411
931	3.158734614
932	3.158664552
933	3.158181099
934	3.155587981
935	3.154438612
936	3.153857143
937	3.152805026
938	3.151148929
939	3.149685229
940	3.149614906
941	3.148336949
942	3.146904336
943	3.143681596
944	3.142202044
945	3.141903437
946	3.140278364
947	3.137953467
948	3.137825706
949	3.13632756
950	3.134127584
951	3.133966964
952	3.132701661
953	3.131628584
954	3.129452159
955	3.128649386
956	3.126130427
957	3.12500498
958	3.123069055
959	3.120904456
960	3.118225701
961	3.117648836
962	3.117193165
963	3.116974708
964	3.116575674
965	3.114230629
966	3.113362924
967	3.113335629
968	3.110074212
969	3.109549042
970	3.108548328
971	3.107483751
972	3.106729635
973	3.106689049
974	3.106640805
975	3.106479496
976	3.104694618
977	3.103843325
978	3.102973678
979	3.101966233
980	3.100134391
981	3.098588203
982	3.097528242
983	3.096897632
984	3.0960641
985	3.09603938
986	3.095577004
987	3.092603634
988	3.09071218
989	3.089952201
990	3.088486281
991	3.08765267
992	3.086154572
993	3.085969291
994	3.083128854
995	3.083093465
996	3.081039758
997	3.078713924
998	3.077785401
999	3.076267968
